iter	Passed	Remaining
900	10338	1135
901	10348	1124
902	10359	1112
903	10375	1101
904	10387	1090
905	10401	1079
906	10414	1067
907	10427	1056
908	10441	1045
909	10454	1033
910	10466	1022
911	10480	1011
912	10491	999
913	10504	988
914	10515	976
915	10524	965
916	10532	953
917	10541	941
918	10550	929
919	10559	918
920	10568	906
921	10580	895
922	10589	883
923	10600	871
924	10613	860
925	10621	848
926	10633	837
927	10643	825
928	10655	814
929	10671	803
930	10684	791
931	10699	780
932	10713	769
933	10726	757
934	10740	746
935	10752	735
936	10764	723
937	10775	712
938	10786	700
939	10799	689
940	10812	677
941	10823	666
942	10836	655
943	10849	643
944	10859	632
945	10871	620
946	10882	609
947	10889	597
948	10896	585
949	10907	574
950	10918	562
951	10930	551
952	10940	539
953	10951	528
954	10964	516
955	10974	505
956	10983	493
957	10991	481
958	11000	470
959	11011	458
960	11022	447
961	11037	435
962	11047	424
963	11060	413
964	11071	401
965	11082	390
966	11095	378
967	11107	367
968	11116	355
969	11130	344
970	11141	332
971	11155	321
972	11165	309
973	11175	298
974	11187	286
975	11201	275
976	11214	264
977	11227	252
978	11237	241
979	11246	229
980	11258	218
981	11271	206
982	11281	195
983	11292	183
984	11305	172
985	11317	160
986	11328	149
987	11339	137
988	11351	126
989	11364	114
990	11378	103
991	11390	91
992	11406	80
993	11419	68
994	11429	57
995	11441	45
996	11454	34
997	11468	22
998	11479	11
999	11492	0
