iter	RMSE
333	8.749520011
334	8.748198811
335	8.747294597
336	8.746724342
337	8.746719274
338	8.745968243
339	8.745464446
340	8.745375507
341	8.745343192
342	8.745074774
343	8.743801481
344	8.74367321
345	8.743649042
346	8.743640409
347	8.743575016
348	8.743200611
349	8.742813735
350	8.741572906
351	8.741497715
352	8.741244587
353	8.741239625
354	8.740923496
355	8.740920879
356	8.740918007
357	8.740886621
358	8.740686269
359	8.739861121
360	8.739386484
361	8.738209037
362	8.738205681
363	8.737123054
364	8.737118135
365	8.737113439
366	8.736834032
367	8.736829556
368	8.736228871
369	8.736224545
370	8.736219925
371	8.736187008
372	8.735864334
373	8.735820682
374	8.73581632
375	8.735811849
376	8.735810973
377	8.735780342
378	8.735752115
379	8.73563929
380	8.735278343
381	8.735247663
382	8.73463165
383	8.734556556
384	8.733922946
385	8.733008807
386	8.732726888
387	8.732672761
388	8.732080678
389	8.730742257
390	8.730738095
391	8.730062242
392	8.728793507
393	8.728659752
394	8.728655832
395	8.72861727
396	8.728613483
397	8.727676985
398	8.727210336
399	8.727134901
400	8.727130791
401	8.727127223
402	8.726361156
403	8.725482558
404	8.725079505
405	8.724456597
406	8.723414875
407	8.723021802
408	8.722982026
409	8.722978647
410	8.722952767
411	8.722859048
412	8.722834238
413	8.72228254
414	8.722280449
415	8.721403235
416	8.721064778
417	8.720447091
418	8.720443828
419	8.720414435
420	8.720330807
421	8.720264409
422	8.720039109
423	8.719117917
424	8.718967158
425	8.716725867
426	8.716198465
427	8.715709416
428	8.715680929
429	8.714507518
430	8.714503664
431	8.714501383
432	8.714459191
433	8.714433329
434	8.714429764
435	8.714338508
436	8.712829141
437	8.712828381
438	8.712104695
439	8.711972128
440	8.711970062
441	8.71196689
442	8.711931494
443	8.711545331
444	8.710012854
445	8.710009789
446	8.709989137
447	8.709986174
448	8.709440443
449	8.708886443
450	8.707356271
451	8.705955166
452	8.70530502
453	8.70526381
454	8.705230525
455	8.705198957
456	8.705195978
457	8.704842174
458	8.704807074
459	8.703213888
460	8.701704025
461	8.701597318
462	8.701293772
463	8.70102445
464	8.700248289
465	8.700223857
466	8.700192537
467	8.699949618
468	8.699677144
469	8.698430896
470	8.698209683
471	8.697277659
472	8.696918725
473	8.696887106
474	8.696863824
475	8.696838869
476	8.696812475
477	8.696632017
478	8.69473694
479	8.694224948
480	8.694175935
481	8.69303955
482	8.692251696
483	8.691969518
484	8.6907183
485	8.688781886
486	8.687619539
487	8.686984515
488	8.686916347
489	8.686657997
490	8.686442054
491	8.686411874
492	8.686396893
493	8.68628042
494	8.686013733
495	8.685719042
496	8.68514784
497	8.684895597
498	8.684781811
499	8.684729709
500	8.684245513
501	8.683934457
502	8.683147986
503	8.682971467
504	8.682319908
505	8.682272818
506	8.68178967
507	8.681786791
508	8.681732784
509	8.681678029
510	8.6816752
511	8.680622763
512	8.680593521
513	8.680475763
514	8.68046945
515	8.680035816
516	8.679107568
517	8.678168804
518	8.6781628
519	8.678070233
520	8.677400384
521	8.677356336
522	8.676882338
523	8.676867451
524	8.676079593
525	8.675789763
526	8.675134583
527	8.67423909
528	8.673486107
529	8.673219638
530	8.673082362
531	8.671754124
532	8.67173334
533	8.671713366
534	8.67115396
535	8.671024474
536	8.67002036
537	8.669979369
538	8.668972079
539	8.668468737
540	8.668457036
541	8.668359904
542	8.667444713
543	8.666500375
544	8.665190765
545	8.664976374
546	8.663543152
547	8.661688819
548	8.660464999
549	8.660438142
550	8.659045693
551	8.658746743
552	8.658341393
553	8.658156428
554	8.657413904
555	8.657187796
556	8.657184795
557	8.657038068
558	8.657024791
559	8.656736675
560	8.656733777
561	8.655858898
562	8.655856068
563	8.655841654
564	8.655163226
565	8.654755785
566	8.654732248
567	8.6544147
568	8.654061287
569	8.654017194
570	8.653716542
571	8.653464098
572	8.653072727
573	8.65305546
574	8.653028318
575	8.651909723
576	8.651887911
577	8.649922833
578	8.649664202
579	8.648998614
580	8.648442745
581	8.647937309
582	8.646639646
583	8.6453429
584	8.645338461
585	8.645022693
586	8.644229338
587	8.642838196
588	8.641761011
589	8.641745253
590	8.639884767
591	8.639856027
592	8.63975438
593	8.639730015
594	8.639044503
595	8.63890604
596	8.638446219
597	8.637740068
598	8.637281485
599	8.636860127
600	8.636013047
601	8.634938852
602	8.634934774
603	8.634907243
604	8.634392546
605	8.634377686
606	8.634209645
607	8.634205378
608	8.634158278
609	8.634129181
610	8.63339843
611	8.633371855
612	8.632861416
613	8.632820235
614	8.631116668
615	8.629493053
616	8.629467935
617	8.62944912
618	8.629428538
619	8.629359455
620	8.629359204
621	8.62923884
622	8.628825166
623	8.628579901
624	8.628113257
625	8.626703055
626	8.626679563
627	8.626311082
628	8.624723462
629	8.624692285
630	8.62353931
631	8.62341197
632	8.623377275
633	8.623360126
634	8.622764935
635	8.622630047
636	8.621173804
637	8.620717129
638	8.620566544
639	8.620279497
640	8.620232218
641	8.618648612
642	8.617849038
643	8.61685574
644	8.616839725
645	8.616802694
646	8.614946892
647	8.614644852
648	8.614228492
649	8.614038651
650	8.614016383
651	8.6138767
652	8.613397424
653	8.612961893
654	8.612383397
655	8.612232769
656	8.612208776
657	8.61213297
658	8.611686939
659	8.610399409
660	8.609841911
661	8.60964483
662	8.608286472
663	8.608273352
664	8.606496621
665	8.606462726
666	8.606216999
667	8.605749948
668	8.605730997
669	8.604942207
670	8.604926581
671	8.604902655
672	8.604519994
673	8.604515844
674	8.604473826
675	8.604374122
676	8.604140005
677	8.604119474
678	8.603529508
679	8.60262748
680	8.602048953
681	8.601527351
682	8.60079427
683	8.600577206
684	8.600542883
685	8.600481707
686	8.599711637
687	8.599674239
688	8.599643752
689	8.599590601
690	8.599313667
691	8.597735286
692	8.597705917
693	8.596996778
694	8.596789305
695	8.596749261
696	8.595466419
697	8.595465535
698	8.594704071
699	8.594648498
700	8.594410304
701	8.594374402
702	8.5938319
703	8.593817205
704	8.592308186
705	8.591802996
706	8.591766639
707	8.59157425
708	8.591541125
709	8.591514129
710	8.591462349
711	8.591394474
712	8.591283667
713	8.591193865
714	8.590294198
715	8.589564327
716	8.589220633
717	8.589215836
718	8.588996528
719	8.588588229
720	8.588174806
721	8.588016171
722	8.5872148
723	8.586784808
724	8.585568602
725	8.585386421
726	8.584723376
727	8.584440998
728	8.583218937
729	8.582873858
730	8.582816808
731	8.582743858
732	8.582007413
733	8.580723641
734	8.580273348
735	8.580263096
736	8.579563709
737	8.57937588
738	8.578731345
739	8.577877561
740	8.577826664
741	8.577567277
742	8.577339047
743	8.57665412
744	8.576329476
745	8.575565092
746	8.575530215
747	8.575514757
748	8.575461617
749	8.575460913
750	8.575222235
751	8.575033388
752	8.574702626
753	8.574573265
754	8.574558826
755	8.574497262
756	8.574439995
757	8.574109872
758	8.574062112
759	8.574051499
760	8.573359151
761	8.57291796
762	8.571996834
763	8.570678944
764	8.57065042
765	8.57047372
766	8.570043956
767	8.570036536
768	8.570011261
769	8.570010495
770	8.569781336
771	8.569687851
772	8.569493386
773	8.569467022
774	8.569439389
775	8.568893808
776	8.568871743
777	8.568712502
778	8.56787653
779	8.567811146
780	8.567409618
781	8.567191185
782	8.566826256
783	8.566701183
784	8.565121379
785	8.565098436
786	8.565096871
787	8.564784099
788	8.564748867
789	8.56462214
790	8.563363031
791	8.563183857
792	8.562812584
793	8.562787941
794	8.562786448
795	8.562763684
796	8.562762959
797	8.562688052
798	8.562327038
799	8.562274265
800	8.562250276
801	8.561945514
802	8.561938576
803	8.561677475
804	8.561595502
805	8.561571389
806	8.561546106
807	8.561245877
808	8.560104367
809	8.559525003
810	8.55944867
811	8.559396344
812	8.559068385
813	8.55873649
814	8.558637827
815	8.558610787
816	8.558410038
817	8.557213088
818	8.557189581
819	8.557188883
820	8.557187486
821	8.556284972
822	8.555393926
823	8.555165581
824	8.554586927
825	8.554439484
826	8.554352023
827	8.553742768
828	8.553741421
829	8.553740146
830	8.553519067
831	8.552929329
832	8.552578553
833	8.552564233
834	8.55252977
835	8.552350813
836	8.55233069
837	8.552026015
838	8.552008276
839	8.552006568
840	8.551993333
841	8.551423365
842	8.551142014
843	8.550858939
844	8.550835359
845	8.549747771
846	8.549705151
847	8.549488532
848	8.549473031
849	8.548884356
850	8.548407029
851	8.548396003
852	8.547730159
853	8.547709193
854	8.54768797
855	8.547528621
856	8.547236977
857	8.547185713
858	8.546607118
859	8.546074259
860	8.546039475
861	8.546017116
862	8.546006493
863	8.544857324
864	8.544856629
865	8.54477193
866	8.544128636
867	8.54404868
868	8.544029373
869	8.544013334
870	8.543985507
871	8.54382703
872	8.543800216
873	8.543557707
874	8.543501797
875	8.543480952
876	8.542194244
877	8.542176532
878	8.54203833
879	8.541947413
880	8.54172774
881	8.541398413
882	8.541326225
883	8.541180428
884	8.541164086
885	8.541152736
886	8.541141901
887	8.541010534
888	8.540349314
889	8.540092457
890	8.539442222
891	8.53941773
892	8.5385422
893	8.538094832
894	8.537878577
895	8.537312124
896	8.537288955
897	8.536513063
898	8.535200311
899	8.535162443
900	8.53514759
901	8.535146241
902	8.53463715
903	8.534624295
904	8.53455839
905	8.533730085
906	8.533005541
907	8.532778603
908	8.532149086
909	8.532129898
910	8.531595849
911	8.530219635
912	8.530210814
913	8.52989321
914	8.529750522
915	8.529731444
916	8.529401991
917	8.529358791
918	8.529352351
919	8.529337542
920	8.529303049
921	8.528609743
922	8.528592
923	8.528074462
924	8.528026816
925	8.52752515
926	8.527493342
927	8.52738072
928	8.526817851
929	8.526418818
930	8.526334734
931	8.525894696
932	8.525492326
933	8.525470451
934	8.523684318
935	8.52358323
936	8.523532959
937	8.523492764
938	8.522561815
939	8.522079249
940	8.521866668
941	8.521863428
942	8.521683322
943	8.521669141
944	8.520964295
945	8.520577932
946	8.520109916
947	8.519655434
948	8.519213883
949	8.519182692
950	8.519077357
951	8.518612403
952	8.518308215
953	8.517879002
954	8.517793019
955	8.517779712
956	8.51776629
957	8.517747499
958	8.517354771
959	8.517023844
960	8.517011606
961	8.516488928
962	8.516256967
963	8.515972464
964	8.515554485
965	8.51554308
966	8.515047349
967	8.515031531
968	8.514829359
969	8.513814736
970	8.512725797
971	8.511844953
972	8.511662922
973	8.511353727
974	8.510713508
975	8.510383753
976	8.509883474
977	8.509658714
978	8.509251696
979	8.508616559
980	8.508582052
981	8.508478302
982	8.508443206
983	8.507921272
984	8.507438154
985	8.507236797
986	8.507221299
987	8.507211044
988	8.507193881
989	8.506797455
990	8.505362465
991	8.50501444
992	8.504703878
993	8.504609742
994	8.504598039
995	8.504148343
996	8.504128355
997	8.503839308
998	8.503804118
999	8.503188921
